,Date,Open,High,Low,Close,Volume,Adjustment_factor,50_day_MA,100_day_MA,Log_return,Volatility,Risk-free Rate
58,2015-11-17,88.29,89.45,88.17,29.586666666666666,683852.0,3.0,28.699466666666666,,0.006669328965457419,0.25373659814058447,0.0225
59,2015-11-18,88.89,89.73,88.28,29.88,754947.0,3.0,28.742066666666666,,0.009865550868332986,0.2559581215221628,0.0227
60,2015-11-19,89.85,90.67,89.37,29.949999999999996,389377.0,3.0,28.783599999999996,,0.002339964296841606,0.22398423217452995,0.022400000000000003
61,2015-11-20,90.23,90.63,89.91,30.046666666666667,199382.0,3.0,28.826733333333333,,0.0032224040329344073,0.21938635630903192,0.0226
62,2015-11-23,89.98,90.0,88.944,29.686666666666667,389819.0,3.0,28.8614,,-0.012053717368945902,0.21418104333844026,0.0225
63,2015-11-24,88.87,90.29,88.49,30.036666666666665,558896.0,3.0,28.895933333333332,,0.011720846353389562,0.2165893682618991,0.022400000000000003
64,2015-11-25,90.18,90.62,89.84,30.08,154091.0,3.0,28.930133333333334,,0.0014416415028027526,0.20975264637757635,0.0223
65,2015-11-27,90.29,90.97,90.29,30.209999999999997,196183.0,3.0,28.971466666666664,,0.004312496316941481,0.18505450251948052,0.0222
66,2015-11-30,90.76,91.87,90.73,30.536666666666665,378303.0,3.0,29.02913333333333,,0.010755151960426979,0.1867063214531862,0.022099999999999998
67,2015-12-01,92.2,93.04,91.99,31.009999999999998,577153.0,3.0,29.097933333333334,,0.015381585753349938,0.19168975715711023,0.0215
68,2015-12-02,93.37,93.61,92.41,30.863333333333333,333015.0,3.0,29.175933333333333,,-0.004740877320511454,0.19237560891465208,0.0218
69,2015-12-03,93.82,93.92,91.5601,30.676666666666666,615946.0,3.0,29.2542,,-0.006066533609190192,0.1938203667860288,0.0233
70,2015-12-04,91.93,93.87,91.78,31.206666666666667,418294.0,3.0,29.34413333333333,,0.017129425021159127,0.18435051626006918,0.022799999999999997
71,2015-12-07,93.54,93.54,92.66,30.953333333333333,500700.0,3.0,29.429066666666664,,-0.008151053280148857,0.16509707105587432,0.0223
72,2015-12-08,91.62,92.35,91.2,30.689999999999998,536428.0,3.0,29.52353333333333,,-0.008543825292021173,0.1641141762168848,0.022400000000000003
73,2015-12-09,92.07,92.17,90.43,30.29,454919.0,3.0,29.60653333333333,,-0.013119243592498822,0.15687168875948315,0.0222
74,2015-12-10,90.79,92.06,90.73,30.436666666666667,375783.0,3.0,29.672199999999997,,0.004830396920993146,0.1574350946321482,0.022400000000000003
75,2015-12-11,90.38,90.7,89.46,29.866666666666664,740697.0,3.0,29.73293333333333,,-0.01890499064736411,0.16570676476605828,0.0213
76,2015-12-14,89.56,89.9,88.12,29.673333333333332,862819.0,3.0,29.778599999999997,,-0.006494256393176472,0.16391393659111123,0.0223
