Date,Open,High,Low,Close,Volume,50_day_MA,100_day_MA,Log_return,Volatility,Risk-free Rate
2015-08-24,94.23,102.53,84.74,98.46,150829863.0,,,,,0.020099999999999996
2015-08-25,102.07,102.74,98.01,98.09,75088278.0,,,-0.003764949753830146,,0.0212
2015-08-26,100.96,103.23,98.93,103.03,104103817.0,,,0.04913478338075235,,0.0218
2015-08-27,104.53,105.71,103.2799,105.64,69377690.0,,,0.025016879471954766,,0.0218
2015-08-28,105.08,106.0,104.85,105.62,49919628.0,,,-0.0001893401501442957,,0.0219
2015-08-31,105.03,105.61,104.05,104.31,39549380.0,,,-0.01248051259090744,,0.022099999999999998
2015-09-01,101.68,103.29,100.63,101.05,73155538.0,,,-0.03175179083824977,,0.0217
2015-09-02,102.89,103.92,101.7,103.9,43963563.0,,,0.027813454255551703,,0.022000000000000002
2015-09-03,104.31,105.02,103.1,103.39,45131794.0,,,-0.004920652506580053,,0.0218
2015-09-04,101.97,102.845,101.59,102.16,49379643.0,,,-0.011968033874317956,,0.0213
2015-09-08,104.12,105.165,103.69,105.04,37343527.0,,,0.027801018270257088,,0.022000000000000002
2015-09-09,106.28,106.31,103.59,103.86,47146743.0,,,-0.011297391578367923,,0.022099999999999998
2015-09-10,103.74,105.68,103.62,104.99,47686714.0,,,0.010821269110676966,,0.0223
2015-09-11,104.51,105.57,104.21,105.57,29106088.0,,,0.005509132474753578,,0.022000000000000002
2015-09-14,105.96,105.98,104.85,105.25,19718804.0,,,-0.003035767439112574,,0.0218
2015-09-15,105.5,106.82,105.11,106.49,30020216.0,,,0.011712611464801558,,0.022799999999999997
2015-09-16,106.51,107.19,106.14,107.09,31329146.0,,,0.005618518385491373,,0.023
2015-09-17,106.98,108.725,106.64,107.13,56139806.0,,,0.0003734478616830945,,0.022099999999999998
2015-09-18,105.23,106.6,105.17,105.35,48383995.0,,,-0.016754910024268748,,0.0213
2015-09-21,105.93,106.55,104.73,105.68,35772624.0,,,0.0031275199638718812,,0.022000000000000002
2015-09-22,104.06,104.4225,103.13,104.1,47359654.0,,,-0.015063684593146833,0.2991570012840209,0.021400000000000002
2015-09-23,104.38,104.66,103.64,104.18,21775134.0,,,0.0007681966961223688,0.29827203726831947,0.0216
2015-09-24,103.17,104.19,102.27,103.8,38284331.0,,,-0.003654201585257305,0.2439105604136727,0.0213
2015-09-25,104.91,105.01,102.28,102.92,44700006.0,,,-0.008513983318244765,0.22746129297775927,0.0217
2015-09-28,102.48,102.55,99.69,99.98,42914867.0,,,-0.02898182142811908,0.24765419860904264,0.021
2015-09-29,100.24,101.26,98.75,99.47,49315527.0,,,-0.005114074821101826,0.24518105969635134,0.020499999999999997
2015-09-30,100.89,101.87,100.5,101.74,40236970.0,,,0.022564448230296286,0.23443845150483728,0.0206
2015-10-01,101.94,102.23,100.59,102.22,39339134.0,,,0.004706813945514676,0.21177695925697856,0.020499999999999997
2015-10-02,100.8,104.01,100.48,104.01,59370859.0,,,0.017359695024908386,0.22063054338774699,0.0199
2015-10-05,104.78,105.78,104.55,105.5,32853533.0,,,0.014223904551079308,0.22090464984901648,0.0207
2015-10-06,105.25,105.6,104.18,105.0,33051534.0,,,-0.004750602758597865,0.19883003757027579,0.020499999999999997
2015-10-07,105.66,105.86,104.29,105.63,37389334.0,,,0.005982071677547469,0.1952586513518795,0.0208
2015-10-08,105.23,106.23,104.21,106.05,50188873.0,,,0.00396825917562067,0.19210448747229966,0.0212
2015-10-09,106.1,106.73,105.81,106.53,23916227.0,,,0.004515954612414831,0.1917932622948993,0.0212
2015-10-12,106.73,106.9899,106.35,106.79,16161955.0,,,0.0024376535603477306,0.19145665995413952,0.0212
2015-10-13,106.18,107.26,106.0,106.1,26999613.0,,,-0.006482243563516525,0.18847931545704688,0.0206
2015-10-14,106.1,106.63,105.49,105.93,30902637.0,,,-0.0016035470115325974,0.18727021868895655,0.0199
2015-10-15,106.32,107.675,106.18,107.67,38393838.0,,,0.01629249521922078,0.19659813274496263,0.0204
2015-10-16,107.9,108.18,107.3794,108.12,27091100.0,,,0.0041707275806213175,0.18635525396889285,0.0204
2015-10-19,107.98,108.81,107.74,108.74,23776270.0,,,0.005717990309527741,0.18691862433123627,0.0204
2015-10-20,108.545,108.78,107.81,108.18,23404691.0,,,-0.0051632052744936445,0.17844530666891623,0.0208
2015-10-21,108.73,108.84,107.48,107.52,30195241.0,,,-0.006119629668441597,0.18069684510562475,0.0204
2015-10-22,108.48,109.8,108.171,109.71,42778702.0,,,0.020163644054560156,0.19103298585801012,0.0204
2015-10-23,112.66,113.24,112.07,112.78,53170910.0,,,0.02759849754963654,0.20522510683663572,0.0209
2015-10-26,112.7,113.07,112.27,112.85,25918004.0,,,0.0006204848845084816,0.16373462490794596,0.0207
2015-10-27,112.55,113.24,112.52,113.08,31390511.0,,,0.0020360295618448983,0.15916939998638394,0.020499999999999997
2015-10-28,113.25,114.02,112.34,114.02,42221867.0,,,0.008278338778046164,0.14759864864081002,0.021
2015-10-29,113.5,114.03,113.38,113.84,24913340.0,,,-0.0015799178218388384,0.14982853273542932,0.0219
2015-10-30,113.89,114.08,113.3,113.33,27199231.0,,,-0.0044900370367399346,0.14670565481848966,0.0216
2015-11-02,113.63,114.745,113.39,114.61,22176916.0,105.93,,0.011231143763750824,0.14438437389375394,0.022000000000000002
2015-11-03,114.38,115.42,114.21,115.01,20418387.0,106.26100000000001,,0.0034840205958822463,0.14056658894828802,0.0223
2015-11-04,115.39,115.47,114.54,115.02,28633048.0,106.5996,,8.694518111803747e-05,0.14132715669211496,0.0225
2015-11-05,115.12,115.395,114.11,114.71,25004080.0,106.83319999999999,,-0.0026988219924318833,0.14347371986921018,0.0226
2015-11-06,114.49,114.92,113.76,114.79,29924901.0,107.01619999999998,,0.0006971677842291247,0.14390474430395972,0.023399999999999997
2015-11-09,114.36,114.51,112.865,113.57,33479755.0,107.1752,,-0.010684985173850551,0.15274015203290578,0.0236
2015-11-10,112.97,113.39,112.63,113.28,35452127.0,107.3546,,-0.0025567569581452848,0.15009411336295767,0.0232
2015-11-11,113.59,114.14,112.95,113.14,22748808.0,107.59639999999999,,-0.0012366400303999397,0.14994154576997457,0.0232
2015-11-12,112.65,113.23,111.96,112.04,31196876.0,107.7592,,-0.009770039523101796,0.14850436499403274,0.0232
