,Date,Open,High,Low,Close,Volume,50_day_MA,100_day_MA,Log_return,Volatility,Risk-free Rate
24,2015-10-01,94.2,94.5,93.13,93.85,5061773.0,,,-0.004783426606894028,0.15162059911541811,0.020499999999999997
25,2015-10-02,93.17,94.22,92.53,94.16,5163745.0,,,0.0032976999195034992,0.15105439927377237,0.0199
26,2015-10-05,94.91,95.98,94.59,95.81,5697297.0,,,0.017371600710760736,0.15164671008645028,0.0207
27,2015-10-06,97.96,98.0,96.73,97.07,7094334.0,,,0.013065304061352864,0.14875128354960485,0.020499999999999997
28,2015-10-07,97.19,98.99,97.08,98.52,6655730.0,,,0.014827205528202221,0.13618812035848563,0.0208
29,2015-10-08,97.6,99.01,97.6,98.97,4683345.0,,,0.004557200656262696,0.1360752679572971,0.0212
30,2015-10-09,98.9,99.615,98.81,99.47,5607006.0,,,0.005039317255722911,0.13592116222922943,0.0212
31,2015-10-12,98.95,100.1,98.685,99.14,4581271.0,,,-0.0033230985718947087,0.13491223009855463,0.0212
32,2015-10-13,98.96,99.16,97.89,97.92,5989430.0,,,-0.012382173828411846,0.14547269578176947,0.0206
33,2015-10-14,97.77,98.21,97.41,97.49,4238421.0,,,-0.004401010122835834,0.14469935212011403,0.0199
34,2015-10-15,98.11,98.485,97.43,98.28,5763932.0,,,0.008070739011798321,0.14611716601418148,0.0204
35,2015-10-16,98.85,99.81,98.3,99.7,5550804.0,,,0.014345129314814303,0.1500172236747054,0.0204
36,2015-10-19,99.7,100.27,99.52,100.18,4902868.0,,,0.004802890961678051,0.14950759396947205,0.0204
37,2015-10-20,99.95,100.39,99.67,100.27,3613624.0,,,0.0008979796063631021,0.13454305681377376,0.0208
38,2015-10-21,99.9,100.9,99.74,100.25,4338410.0,,,-0.00019948134915542172,0.13475102121422025,0.0204
39,2015-10-22,100.67,103.38,100.33,103.08,5934810.0,,,0.027838319597485665,0.15815720983762757,0.0204
40,2015-10-23,103.32,103.44,101.93,102.43,5015782.0,,,-0.006325747335721008,0.16210289471188558,0.0209
41,2015-10-26,102.39,102.81,101.85,102.54,3770693.0,,,0.0010733279071112444,0.15241092101676565,0.0207
42,2015-10-27,102.13,103.2,102.01,102.94,3995662.0,,,0.0038933278690538456,0.15242911600768533,0.020499999999999997
43,2015-10-28,103.11,103.2,101.48,102.74,5164815.0,,,-0.001944769185486747,0.15097191430324006,0.021
44,2015-10-29,102.09,103.1,101.9,102.8,3008124.0,,,0.0005838279819428801,0.14786562858246205,0.0219
45,2015-10-30,102.63,103.24,102.19,102.19,5425837.0,,,-0.0059515273969470185,0.1524810651782754,0.0216
46,2015-11-02,102.14,102.58,101.1,101.4,5007315.0,,,-0.007760734467034846,0.14951897601596056,0.022000000000000002
47,2015-11-03,101.16,101.21,99.83,100.92,4174940.0,,,-0.004744967384225861,0.14669575780661304,0.0223
48,2015-11-04,100.89,101.34,100.4,100.62,3345638.0,,,-0.0029770787096845036,0.139390159149014,0.0225
49,2015-11-05,100.62,100.94,100.19,100.61,2834071.0,96.2458,,-9.938875921326232e-05,0.1388170760276817,0.0226
50,2015-11-06,100.07,100.288,99.15,99.72,4660435.0,96.3682,,-0.008885397648602156,0.14196985806897294,0.023399999999999997
51,2015-11-09,99.48,99.6,98.225,98.88,3959772.0,96.4752,,-0.008459264945976576,0.14476768185408637,0.0236
52,2015-11-10,98.5,99.22,98.38,98.83,3367819.0,96.5932,,-0.0005057913212880948,0.1373878370748453,0.0232
53,2015-11-11,99.28,99.9598,99.09,99.43,3151467.0,96.75519999999999,,0.006052676603889839,0.13749070643756908,0.0232
54,2015-11-12,98.9,99.33,98.34,98.37,3892758.0,96.88980000000001,,-0.010717999467315713,0.14078459459818463,0.0232
55,2015-11-13,98.19,98.95,97.81,98.04,4000911.0,97.00800000000001,,-0.0033603208647546923,0.13059227989094377,0.022799999999999997
56,2015-11-16,97.75,99.66,97.65,99.56,3446744.0,97.1808,,0.015384918839479456,0.1415949017960357,0.0227
57,2015-11-17,99.54,99.88,98.555,98.83,3446515.0,97.31,,-0.007359275111298731,0.14367858143962928,0.0225
58,2015-11-18,99.07,100.38,98.91,100.27,4073669.0,97.49880000000002,,0.014465345147741454,0.1534829286887739,0.0227
59,2015-11-19,100.52,101.37,100.5,100.93,3496007.0,97.69619999999999,,0.006560659714934227,0.11642465957483072,0.022400000000000003
60,2015-11-20,101.52,102.15,100.0,100.1,4800139.0,97.8658,,-0.008257520929593375,0.11777888329536855,0.0226
61,2015-11-23,100.48,101.69,100.24,100.85,4603992.0,98.0588,,0.007464578079045791,0.12150543336550335,0.0225
62,2015-11-24,100.33,101.0,100.0,100.63,3405389.0,98.23019999999998,,-0.002183840454978881,0.12028025169153411,0.022400000000000003
63,2015-11-25,100.53,100.94,100.45,100.5,2906408.0,98.3788,,-0.0012926964461114057,0.12024427733825192,0.0223
