,Date,Open,High,Low,Close,Volume,Adjustment_factor,50_day_MA,100_day_MA,Log_return,Volatility,Risk-free Rate
76,2015-12-15,560.13,564.55,553.571,11.0972,915252.0,50.0,12.535627999999999,,-0.005929829957749573,0.5795309185110302,0.022799999999999997
77,2015-12-16,556.15,569.28,554.2,11.3566,870521.0,50.0,12.47746,,0.02310624847535271,0.5862956414957344,0.023
78,2015-12-17,575.01,577.7599,554.6,11.0978,1144757.0,50.0,12.411352,,-0.023052182244206555,0.5865633596005803,0.022400000000000003
79,2015-12-18,553.78,555.34,540.5,10.821600000000002,1501169.0,50.0,12.333876,,-0.025202753683384444,0.5783023168249137,0.0219
80,2015-12-21,544.25,544.88,508.1,10.4402,3095680.0,50.0,12.249508,,-0.0358803974337266,0.36305861535379996,0.022000000000000002
81,2015-12-22,511.375,512.33,494.1101,9.8922,4561943.0,50.0,12.148224,,-0.05391717154606971,0.37044797233753685,0.022400000000000003
82,2015-12-23,490.16,501.25,482.234,9.9496,2455761.0,50.0,12.047048000000002,,0.005785781544343287,0.34466474794066576,0.0227
83,2015-12-24,498.87,501.98,494.3,9.902000000000001,894307.0,50.0,11.957664,,-0.004795592418162789,0.3415745955443392,0.0225
84,2015-12-28,495.97,499.0,485.76,9.8704,956965.0,50.0,11.865548,,-0.003196377465994264,0.34199358058653173,0.022400000000000003
85,2015-12-29,494.1,497.24,489.03,9.7988,866053.0,50.0,11.772444,,-0.007280450273791077,0.3386324512202678,0.0232
86,2015-12-30,490.0,492.99,482.8,9.7158,1060645.0,50.0,11.679304,,-0.008506502874103069,0.3363776097577691,0.0231
87,2015-12-31,483.11,485.78,477.97,9.597000000000001,1196113.0,50.0,11.588991999999998,,-0.012302876689852223,0.33654885708621163,0.0227
88,2016-01-04,468.7,469.0,447.5,8.9762,2689598.0,50.0,11.502248,,-0.06687391946345358,0.3940201672033847,0.022400000000000003
89,2016-01-05,450.0,459.88,446.8,8.980599999999999,2161099.0,50.0,11.421612,,0.0004900650548048183,0.39609608317799366,0.0225
90,2016-01-06,437.94,447.0,423.0,8.5334,3646171.0,50.0,11.332392,,-0.051078819939952155,0.4204951061157403,0.0218
91,2016-01-07,415.08,425.185,411.61,8.32,1889852.0,50.0,11.234915999999998,,-0.025325620453772422,0.42256929169075674,0.0216
92,2016-01-08,419.84,426.29,411.74,8.2658,1296873.0,50.0,11.137611999999999,,-0.006535734535929491,0.4140447173043414,0.0213
93,2016-01-11,416.65,419.915,406.35,8.222000000000001,1462498.0,50.0,11.040095999999998,,-0.005313031821500982,0.3434945676130486,0.0217
94,2016-01-12,415.5,420.799,399.1404,8.0852,1658285.0,50.0,10.942520000000002,,-0.016778258584981005,0.3434502151942203,0.0212
95,2016-01-13,407.8,432.3,406.65,8.5656,3552500.0,50.0,10.85774,,0.05771895197121728,0.43355725815312207,0.0208
96,2016-01-14,447.0,463.51,436.5,9.086,3766939.0,50.0,10.78986,,0.058980585475288276,0.5036398050409422,0.021
97,2016-01-15,441.15,476.43,441.15,9.5188,3306422.0,50.0,10.730972000000001,,0.04653402310087246,0.5302276457044088,0.0203
98,2016-01-19,478.36,478.37,456.1,9.3894,2255803.0,50.0,10.672768000000001,,-0.01368739702303987,0.5279323079360936,0.0206
99,2016-01-20,462.75,472.79,451.09,9.31,1787298.0,50.0,10.612076,12.354750000000001,-0.00849230212606842,0.5241796817652965,0.020099999999999996
100,2016-01-21,469.79,475.59,461.0,9.224,1198367.0,50.0,10.551596000000002,12.301556,-0.00928030832221786,0.5134884935938009,0.0202
101,2016-01-22,466.22,466.33,446.7,9.0152,1430177.0,50.0,10.488183999999999,12.247468000000001,-0.022896741310755437,0.4863379355119218,0.0207
102,2016-01-25,447.92,448.915,431.52,8.8434,1574437.0,50.0,10.413499999999999,12.193900000000001,-0.01924062356737224,0.4873334008931432,0.0203
103,2016-01-26,442.0,449.9,440.01,8.963,764516.0,50.0,10.344024,12.142188,0.013433574286594197,0.4921499082631417,0.020099999999999996
104,2016-01-27,448.5,454.49,442.25,8.8528,1315965.0,50.0,10.275208,12.085942,-0.012371199213516287,0.49278564568185707,0.0202
105,2016-01-28,446.98,455.98,443.3,9.0616,1016952.0,50.0,10.219284000000002,12.031559999999999,0.023311911742658536,0.5031268989818298,0.02
106,2016-01-29,455.76,470.0,451.33,9.0594,1534323.0,50.0,10.164976000000001,11.978308,-0.00024281220802483091,0.5029808056844388,0.0194
107,2016-02-01,476.12,479.0,463.01,9.4528,2335971.0,50.0,10.1206,11.926408000000002,0.04250810121852694,0.5272957090528849,0.0197
108,2016-02-02,471.0,484.2,468.3,9.5134,2697662.0,50.0,10.073268,11.877776,0.006390337149637358,0.46602518151719485,0.0187
109,2016-02-03,459.7,466.64,440.41,9.2348,3797638.0,50.0,10.01336,11.825486000000001,-0.029722374388474092,0.4802260103366153,0.018799999999999997
110,2016-02-04,460.0,476.67,456.0,9.418,1489608.0,50.0,9.987243999999999,11.773853999999998,0.019643795145330597,0.44180958591930386,0.0187
111,2016-02-05,469.85,475.59,454.445,9.2028,1525402.0,50.0,9.947584,11.720522,-0.023114966244685904,0.4398670014756233,0.018600000000000002
112,2016-02-08,454.69,461.11,435.865,8.9,1427029.0,50.0,9.894468,11.663106,-0.033456508838582595,0.45921946208836667,0.0175
113,2016-02-09,441.9,452.02,436.86,8.8186,1137744.0,50.0,9.838508000000001,11.605290000000002,-0.009188149477089359,0.4604321979700861,0.0174
114,2016-02-10,443.99,453.8,442.5,8.9762,992432.0,50.0,9.787384,11.549012,0.017713502911032394,0.45654369946471485,0.0171
115,2016-02-11,444.0,467.78,441.01,9.2278,1282613.0,50.0,9.740120000000001,11.495394000000001,0.027644036735986352,0.42184363909904493,0.0163
116,2016-02-12,466.11,487.98,465.46,9.6114,1753580.0,50.0,9.700052000000001,11.44527,0.040729227045332245,0.39420419325494166,0.0174
117,2016-02-16,484.01,493.0,478.0007,9.8588,1130634.0,50.0,9.667364000000001,11.398464,0.02541456340071796,0.36948914954929424,0.0178
118,2016-02-17,495.43,514.7998,495.22,10.2802,1638005.0,50.0,9.646844,11.354952,0.0418552577366126,0.3906935481912212,0.0181
119,2016-02-18,515.0,518.86,502.05,10.3186,1128531.0,50.0,9.628736,11.311904,0.0037283768454986327,0.38768690983553655,0.0175
120,2016-02-19,512.2,526.2299,509.5,10.2316,1412838.0,50.0,9.612668000000001,11.268164000000002,-0.008467121465235032,0.38729620464673387,0.0176
